sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.2705;3.146;9.1318;0.0428;3.0712;9.3132;0.0762;0.0268;-0.2459;-0.066;-0.0183;0.0038;5.0;13.2;27.66;-24.18;338.96;-18.25;-0.26;2.0;928.95;65.797;12.355574;76.59673;2113.44;NaN;;0.0;77.41935;;5 / 19;9;2021-02-12 10:43:30:242
0.498;3.0263;9.1414;0.2796;2.9923;9.3348;0.1641;-0.0129;-0.0591;-0.0025;-0.0354;-0.0603;5.0;12.36;29.82;-25.44;340.75;-17.74;-1.4;2.0;928.95;67.061;12.355574;76.59673;2113.44;NaN;;0.0;77.41935;;5 / 19;509;2021-02-12 10:43:30:742
0.1245;2.4828;9.2419;0.4343;2.7635;9.3992;-0.1113;-0.1286;0.0209;0.0598;-0.0605;-0.224;5.0;7.98;31.5;-24.3;346.21;-16.52;-2.83;2.0;928.96;66.459;12.355574;76.59673;2113.44;NaN;;0.0;77.41935;;6 / 20;1009;2021-02-12 10:43:31:242
0.5578;2.7964;9.1605;0.5032;2.7998;9.385;0.0328;0.011;-0.1301;0.0134;-0.1081;-0.0487;5.0;6.12;30.72;-24.54;348.89;-16.22;-2.77;2.0;928.96;64.451;12.355574;76.59673;2113.44;NaN;;0.0;77.41935;;6 / 20;1510;2021-02-12 10:43:31:743
0.7997;2.7126;9.4861;0.8532;2.7496;9.3746;-0.1037;-0.0394;0.0938;-0.096;-0.1032;-0.1965;5.0;3.66;31.5;-23.4;351.12;-16.79;-4.54;2.0;928.98;69.688;12.355574;76.59673;2113.44;NaN;;0.0;77.41935;;7 / 18;2010;2021-02-12 10:43:32:243
1.1133;-0.9601;10.3696;1.2498;0.112;9.726;0.2006;-0.7196;0.9054;-1.0196;0.8668;0.5872;6.0;0.6;37.62;-10.08;356.6;-0.65;-7.32;2.0;928.98;68.175;12.355574;76.59673;2113.44;NaN;;0.0;77.41935;;7 / 18;2509;2021-02-12 10:43:32:742
0.0982;3.2777;8.617;0.0831;2.9258;9.3597;-0.1485;-0.075;-0.5344;0.9052;-0.2767;0.4027;6.0;4.08;27.48;-25.56;352.81;-17.36;-0.51;2.0;929.01;64.968;12.355601;76.59676;2113.34;NaN;;0.0;51.612904;;7 / 19;3009;2021-02-12 10:43:33:242
1.0295;4.9611;8.6889;0.2548;5.092;8.3772;-0.1237;-0.5282;-0.105;0.3713;-0.1301;0.4149;9.0;8.94;23.4;-28.8;345.25;-29.6;-0.07;2.0;928.97;68.638;12.355601;76.59676;2113.34;NaN;;0.0;51.612904;;7 / 19;3509;2021-02-12 10:43:33:742
-0.644;5.1263;7.7575;-0.3979;5.1699;8.3237;-0.302;-0.0829;-0.5442;-0.0013;0.1417;-0.1226;9.0;10.8;22.02;-27.96;343.15;-32.2;1.61;2.0;928.99;62.864;12.355596;76.59676;2115.1;NaN;;0.0;51.612904;;7 / 23;4010;2021-02-12 10:43:34:243
-0.905;3.9073;9.8141;-0.9378;3.9096;8.9446;0.1986;0.2687;0.7746;-0.2035;0.6176;0.1981;7.0;14.1;25.38;-25.86;340.58;-28.28;3.79;2.0;928.96;58.918;12.355596;76.59676;2115.1;NaN;;0.0;51.612904;;7 / 23;4510;2021-02-12 10:43:34:743
-1.3001;3.7517;9.5484;-1.1664;3.6473;9.0281;0.1649;0.4511;-0.5333;0.1881;0.0586;0.2292;7.0;16.32;27.0;-23.04;340.8;-21.88;9.44;2.0;928.94;64.463;12.355589;76.59675;2116.98;NaN;;0.0;51.612904;;7 / 21;5009;2021-02-12 10:43:35:242
-0.3543;4.4652;8.3609;-0.3295;3.8326;9.0207;-0.5;0.112;-0.3479;0.3927;0.0751;0.2714;7.0;18.66;24.18;-24.6;330.64;-23.01;2.09;2.0;928.97;66.319;12.355589;76.59675;2116.98;NaN;;0.0;51.612904;;7 / 21;5509;2021-02-12 10:43:35:742
-0.1269;4.2617;8.2771;0.1963;4.3419;8.7909;-0.2599;0.0011;-0.4369;-0.0734;-0.0104;0.0515;9.0;18.06;23.64;-26.52;330.81;-26.28;-1.28;2.0;928.98;62.52;12.355584;76.59676;2119.84;NaN;;0.0;38.709675;;8 / 22;6010;2021-02-12 10:43:36:243
-2.5642;4.8914;5.9331;-1.8884;5.7234;7.7361;-0.4493;-0.1925;-1.8363;0.8191;0.3848;-0.6596;12.0;22.08;18.96;-26.4;329.43;-30.33;7.81;2.0;928.95;58.205;12.355584;76.59676;2119.84;NaN;;0.0;38.709675;;8 / 22;6509;2021-02-12 10:43:36:742
